,SS,X0_1,X0_2,X0_3,X0_4,X1_1,X1_2,X1_3,X1_4,X2_1,X2_2,X2_3,X2_4,X3_1,X3_2,X3_3,X3_4,X4_1,X4_2,X4_3,X4_4,X5_1,X5_2,X5_3,X5_4,X6_1,X6_2,X6_3,X6_4,X7_1,X7_2,X7_3,X7_4,X8_1,X8_2,X8_3,X8_4,X9_1,X9_2,X9_3,X9_4,X10_1,X10_2,X10_3,X10_4,X12_1,X12_2,X12_3,X12_4,X13_1,X13_2,X13_3,X13_4,X14_1,X14_2,X14_3,X14_4,X15_1,X15_2,X15_3,X15_4,X16_1,X16_2,X16_3,X16_4,X17_1,X17_2,X17_3,X17_4,X18_1,X18_2,X18_3,X18_4,X19_1,X19_2,X19_3,X19_4,X20_1,X20_2,X20_3,X20_4,X21_1,X21_2,X21_3,X21_4,X22_1,X22_2,X22_3,X22_4,X23_1,X23_2,X23_3,X23_4,X24_1,X24_2,X24_3,X24_4,X25_1,X25_2,X25_3,X25_4
13,CL:C-040-2:2-1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,NA,NA,0,0,0,NA,0,0,NA,NA
14,CL:C-040-2:2-3,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,NA,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,1,0,1,1,1,NA,1,1,0,NA,1,1,0,NA,1,1,NA,NA
15,CL:C-040-3:1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA
16,CL:C-040-3:1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA
17,CL:C-040-3:2-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,1,1,0,NA,0,0,0,NA,0,1,0,NA,0,0,NA,NA
18,CL:C-040-3:2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA
19,CL:C-100-1:1-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
20,CL:C-100-1:1-3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
21,CL:C-100-1:1-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
22,CL:C-100-1:2-2,1,1,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,1,0,0,0,1,NA,0,0,0,NA,1,0,0,NA,0,0,0,NA
23,CL:C-100-1:2-4,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
24,CL:C-100-1:3-1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
25,CL:C-100-1:3-3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,NA,1,NA,1,0,0,NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA
26,CL:C-100-1:3-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,NA,0,NA,1,0,0,NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA
27,CL:C-100-1:4-2,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,NA,0,NA,0,NA,0,0,1,NA,0,0,0,NA,NA,0,0,NA,0,0,0,NA
28,CL:C-100-1:4-4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,NA,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,1,NA,0,0,0,NA
29,CL:C-100-2:1-1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,1,0,NA,1,0,NA,NA,0,0,0,NA
30,CL:C-100-2:1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,1,NA,1,0,NA,NA,0,0,0,NA
31,CL:C-100-2:2-1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,NA,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,NA,NA,0,0,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,0,0,1,NA
32,CL:C-100-2:2-3,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,NA,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,NA,NA,0,0,NA,1,0,0,0,NA,NA,1,0,1,NA,0,1,NA,NA,0,1,0,NA
33,CL:C-100-2:3-1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,NA,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,NA,NA,1,0,NA,0,0,0,1,NA,NA,0,1,0,NA,0,0,NA,NA,0,0,0,NA
34,CL:C-100-2:3-3,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,NA,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,NA,NA,0,0,NA,0,0,0,0,NA,NA,1,1,1,NA,0,1,NA,NA,1,1,1,NA
35,CL:C-100-2:4-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
36,CL:C-100-2:4-3,0,1,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,1,1,0,NA,1,0,0,NA
37,CL:C-100-2:5-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,NA,0,0,0,NA
38,CL:C-100-2:5-3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
39,CL:C-100-3:1-1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,NA,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
40,CL:C-100-3:1-3,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,NA,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
41,CL:C-100-3:2-1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,NA,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
42,CL:C-100-3:2-3,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,NA,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,0,1,0,NA,1,0,0,NA,0,1,0,NA
43,CL:C-100-3:3-1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,NA,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
44,CL:C-100-3:3-3,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,NA,1,0,0,NA,1,1,1,NA,0,0,0,NA
45,CL:C-100-3:4-1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,NA,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,NA,0,0,0,NA,1,0,0,NA,0,0,0,NA
46,CL:C-100-3:4-3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,NA,1,0,0,NA,1,0,0,NA,1,1,1,NA
47,CL:C-100-3:5-1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,NA,1,0,0,NA,0,0,0,NA,0,0,0,NA
48,CL:C-100-3:5-3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,NA,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,1,1,1,NA,0,0,0,NA,1,0,0,NA
49,CL:F-001-1:1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
50,CL:F-001-2:1,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,NA,0,0,NA,NA
51,CL:F-001-3:1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,NA
52,CL:F-010-1:1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
53,CL:F-010-2:1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,0,1,0,1,0,1,0,0,0,NA,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,0,NA,0,NA,0,0,1,1,0,0,NA,0,0,0,NA,1,0,0,NA,0,0,NA,NA
54,CL:F-010-3:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA
55,CL:F-040-1:1-1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
56,CL:F-040-1:2-1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0
57,CL:F-040-1:3-1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,0,NA,0,0,0,0,0,0,0,NA,0,0,0,NA
58,CL:F-040-1:4-1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,NA,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,0,0,NA,0,1,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NA
