,SS,YEAR,NEAR.DIST.conventional.seismic,NEAR.DIST.unimproved.road,NEAR.DIST.pipeline,NEAR.DIST.harvest,MEANAGE.565.harvest
1,CL:C-001-1:1,2000,21.5039336,1000,1000,413.9201627,5
2,CL:C-001-1:1,2001,21.5039336,1000,1000,413.9201627,6
3,CL:C-001-1:1,2002,21.5039336,1000,1000,413.9201627,7
4,CL:C-001-1:1,2003,21.5039336,1000,1000,413.9201627,8
5,CL:C-001-1:1,2005,21.5039336,1000,1000,413.9201627,10
6,CL:C-001-1:1,2006,21.5039336,1000,1000,413.9201627,11
7,CL:C-001-1:1,2007,21.5039336,1000,1000,413.9201627,12
8,CL:C-001-1:1,2008,21.5039336,1000,1000,413.9201627,13
9,CL:C-001-1:1,2009,21.5039336,1000,1000,413.9201627,14
10,CL:C-001-1:1,2010,21.5039336,1000,1000,413.9201627,15
11,CL:C-001-1:1,2011,21.5039336,1000,1000,413.9201627,16
12,CL:C-001-1:1,2012,21.5039336,1000,1000,413.9201627,17
13,CL:C-001-1:1,2014,21.5039336,1000,1000,413.9201627,19
14,CL:C-001-1:1,1993,318.8905493,1000,1000,1000,102.5066681
15,CL:C-001-1:1,1994,318.8905493,1000,1000,1000,102.5066681
16,CL:C-001-1:1,1995,318.8905493,1000,1000,1000,102.5066681
17,CL:C-001-1:1,1996,318.8905493,1000,1000,413.9201627,1
18,CL:C-001-1:1,1997,318.8905493,1000,1000,413.9201627,2
19,CL:C-001-1:1,1998,318.8905493,1000,1000,413.9201627,3
20,CL:C-001-1:1,1999,21.5039336,1000,1000,413.9201627,4
21,CL:C-001-2:1,2000,230.3354003,374.9636913,184.8505002,455.3649367,6
22,CL:C-001-2:1,2001,230.3354003,374.9636913,184.8505002,455.3649367,7
23,CL:C-001-2:1,2002,230.3354003,374.9636913,184.8505002,455.3649367,8
24,CL:C-001-2:1,2003,230.3354003,374.9636913,184.8505002,455.3649367,9
25,CL:C-001-2:1,2005,230.3354003,374.9636913,184.8505002,262.486144,2.344515257
26,CL:C-001-2:1,2006,230.3354003,374.9636913,184.8505002,262.486144,3.344515257
27,CL:C-001-2:1,2007,230.3354003,374.9636913,184.8505002,262.486144,4.344515257
28,CL:C-001-2:1,2008,230.3354003,374.9636913,184.8505002,221.6724418,2.946000594
29,CL:C-001-2:1,2009,230.3354003,374.9636913,184.8505002,221.6724418,3.946000594
30,CL:C-001-2:1,2010,230.3354003,374.9636913,184.8505002,221.6724418,4.946000594
31,CL:C-001-2:1,2011,230.3354003,374.9636913,184.8505002,221.6724418,5.946000594
32,CL:C-001-2:1,2012,230.3354003,374.9636913,184.8505002,221.6724418,6.946000594
33,CL:C-001-2:1,2014,230.3354003,374.9636913,184.8505002,221.6724418,8.946000594
34,CL:C-001-2:1,1993,230.3354003,374.9636913,184.8505002,1000,102.5066681
35,CL:C-001-2:1,1994,230.3354003,374.9636913,184.8505002,1000,102.5066681
36,CL:C-001-2:1,1995,230.3354003,374.9636913,184.8505002,455.3649367,1
37,CL:C-001-2:1,1996,230.3354003,374.9636913,184.8505002,455.3649367,2
38,CL:C-001-2:1,1997,230.3354003,374.9636913,184.8505002,455.3649367,3
39,CL:C-001-2:1,1998,230.3354003,374.9636913,184.8505002,455.3649367,4
40,CL:C-001-2:1,1999,230.3354003,374.9636913,184.8505002,455.3649367,5
41,CL:C-001-3:1,2000,16.19252214,1000,1000,1000,102.5066681
42,CL:C-001-3:1,2001,16.19252214,1000,1000,1000,102.5066681
43,CL:C-001-3:1,2002,16.19252214,1000,1000,1000,102.5066681
44,CL:C-001-3:1,2003,16.19252214,1000,1000,1000,102.5066681
45,CL:C-001-3:1,2005,16.19252214,1000,1000,1000,102.5066681
46,CL:C-001-3:1,2006,16.19252214,1000,1000,1000,102.5066681
47,CL:C-001-3:1,2007,16.19252214,1000,1000,1000,102.5066681
48,CL:C-001-3:1,2008,16.19252214,1000,1000,1000,102.5066681
49,CL:C-001-3:1,2009,16.19252214,1000,1000,1000,102.5066681
50,CL:C-001-3:1,2010,16.19252214,1000,1000,1000,102.5066681
51,CL:C-001-3:1,2011,16.19252214,1000,1000,1000,102.5066681
52,CL:C-001-3:1,2012,16.19252214,1000,1000,1000,102.5066681
53,CL:C-001-3:1,2014,16.19252214,1000,1000,260.2731673,1
54,CL:C-001-3:1,1993,34.58325645,1000,1000,1000,102.5066681
55,CL:C-001-3:1,1994,34.58325645,1000,1000,1000,102.5066681
56,CL:C-001-3:1,1995,34.58325645,1000,1000,1000,102.5066681
57,CL:C-001-3:1,1996,34.58325645,1000,1000,1000,102.5066681
58,CL:C-001-3:1,1997,34.58325645,1000,1000,1000,102.5066681
59,CL:C-001-3:1,1998,34.58325645,1000,1000,1000,102.5066681
60,CL:C-001-3:1,1999,34.58325645,1000,1000,1000,102.5066681
61,CL:C-010-1:1,2000,48.45439361,1000,1000,655.3327999,102.5066681
62,CL:C-010-1:1,2001,48.45439361,1000,1000,655.3327999,102.5066681
63,CL:C-010-1:1,2002,48.45439361,1000,1000,655.3327999,102.5066681
64,CL:C-010-1:1,2003,48.45439361,1000,1000,655.3327999,102.5066681
65,CL:C-010-1:1,2005,48.45439361,1000,1000,655.3327999,102.5066681
66,CL:C-010-1:1,2006,48.45439361,1000,1000,655.3327999,102.5066681
67,CL:C-010-1:1,2007,48.45439361,1000,1000,655.3327999,102.5066681
68,CL:C-010-1:1,2008,48.45439361,1000,1000,655.3327999,102.5066681
69,CL:C-010-1:1,2009,48.45439361,1000,1000,655.3327999,102.5066681
70,CL:C-010-1:1,2010,48.45439361,1000,1000,655.3327999,102.5066681
71,CL:C-010-1:1,2011,48.45439361,1000,1000,655.3327999,102.5066681
72,CL:C-010-1:1,2012,48.45439361,1000,1000,655.3327999,102.5066681
73,CL:C-010-1:1,2014,48.45439361,1000,1000,655.3327999,102.5066681
74,CL:C-010-1:1,1993,87.76328372,1000,1000,1000,102.5066681
75,CL:C-010-1:1,1994,87.76328372,1000,1000,1000,102.5066681
76,CL:C-010-1:1,1995,87.76328372,1000,1000,807.4150132,102.5066681
77,CL:C-010-1:1,1996,87.76328372,1000,1000,655.3327999,102.5066681
78,CL:C-010-1:1,1997,87.76328372,1000,1000,655.3327999,102.5066681
79,CL:C-010-1:1,1998,87.76328372,1000,1000,655.3327999,102.5066681
80,CL:C-010-1:1,1999,48.45439361,1000,1000,655.3327999,102.5066681
101,CL:C-010-2:1,2000,496.8207394,327.605471,1000,522.4399993,6
102,CL:C-010-2:1,2001,496.8207394,327.605471,1000,522.4399993,7
103,CL:C-010-2:1,2002,496.8207394,327.605471,1000,522.4399993,8
104,CL:C-010-2:1,2003,496.8207394,327.605471,1000,522.4399993,9
105,CL:C-010-2:1,2005,496.8207394,327.605471,1000,522.4399993,11
106,CL:C-010-2:1,2006,496.8207394,327.605471,1000,522.4399993,12
107,CL:C-010-2:1,2007,496.8207394,327.605471,1000,522.4399993,13
108,CL:C-010-2:1,2008,496.8207394,327.605471,1000,522.4399993,14
109,CL:C-010-2:1,2009,496.8207394,327.605471,1000,522.4399993,15
110,CL:C-010-2:1,2010,496.8207394,327.605471,1000,522.4399993,16
111,CL:C-010-2:1,2011,496.8207394,327.605471,1000,522.4399993,17
112,CL:C-010-2:1,2012,496.8207394,327.605471,1000,522.4399993,18
113,CL:C-010-2:1,2014,496.8207394,327.605471,1000,522.4399993,20
114,CL:C-010-2:1,1993,496.8207394,327.605471,1000,1000,102.5066681
115,CL:C-010-2:1,1994,496.8207394,327.605471,1000,1000,102.5066681
116,CL:C-010-2:1,1995,496.8207394,327.605471,1000,522.4399993,1
117,CL:C-010-2:1,1996,496.8207394,327.605471,1000,522.4399993,2
118,CL:C-010-2:1,1997,496.8207394,327.605471,1000,522.4399993,3
119,CL:C-010-2:1,1998,496.8207394,327.605471,1000,522.4399993,4
120,CL:C-010-2:1,1999,496.8207394,327.605471,1000,522.4399993,5
141,CL:C-010-3:1,2000,99.40225597,1000,1000,543.6025583,6
142,CL:C-010-3:1,2001,99.40225597,1000,1000,543.6025583,7
143,CL:C-010-3:1,2002,99.40225597,1000,1000,543.6025583,8
144,CL:C-010-3:1,2003,99.40225597,1000,1000,543.6025583,9
145,CL:C-010-3:1,2005,99.40225597,1000,1000,543.6025583,11
146,CL:C-010-3:1,2006,99.40225597,1000,1000,543.6025583,12
147,CL:C-010-3:1,2007,99.40225597,1000,1000,543.6025583,13
148,CL:C-010-3:1,2008,99.40225597,1000,1000,543.6025583,14
149,CL:C-010-3:1,2009,99.40225597,1000,1000,543.6025583,15
150,CL:C-010-3:1,2010,99.40225597,1000,1000,543.6025583,16
151,CL:C-010-3:1,2011,99.40225597,1000,1000,543.6025583,17
152,CL:C-010-3:1,2012,99.40225597,1000,1000,543.6025583,18
153,CL:C-010-3:1,2014,99.40225597,1000,1000,49.92435062,1.105854461
154,CL:C-010-3:1,1993,360.1038897,1000,1000,1000,102.5066681
155,CL:C-010-3:1,1994,360.1038897,1000,1000,1000,102.5066681
156,CL:C-010-3:1,1995,360.1038897,1000,1000,543.6025583,1
157,CL:C-010-3:1,1996,360.1038897,1000,1000,543.6025583,2
158,CL:C-010-3:1,1997,360.1038897,1000,1000,543.6025583,3
159,CL:C-010-3:1,1998,360.1038897,1000,1000,543.6025583,4
160,CL:C-010-3:1,1999,99.40225597,1000,1000,543.6025583,5
181,CL:C-040-1:1-1,2000,219.4964332,1000,1000,739.3595583,102.5066681
182,CL:C-040-1:1-1,2001,219.4964332,1000,1000,739.3595583,102.5066681
183,CL:C-040-1:1-1,2002,219.4964332,1000,1000,739.3595583,102.5066681
184,CL:C-040-1:1-1,2003,219.4964332,1000,1000,739.3595583,102.5066681
185,CL:C-040-1:1-1,2005,219.4964332,1000,1000,739.3595583,102.5066681
186,CL:C-040-1:1-1,2006,219.4964332,1000,1000,739.3595583,102.5066681
187,CL:C-040-1:1-1,2007,219.4964332,1000,1000,739.3595583,102.5066681
188,CL:C-040-1:1-1,2008,219.4964332,1000,1000,739.3595583,102.5066681
189,CL:C-040-1:1-1,2009,219.4964332,1000,1000,739.3595583,102.5066681
190,CL:C-040-1:1-1,2010,219.4964332,1000,1000,739.3595583,102.5066681
191,CL:C-040-1:1-1,2011,219.4964332,1000,1000,739.3595583,102.5066681
192,CL:C-040-1:1-1,2012,219.4964332,1000,1000,739.3595583,102.5066681
193,CL:C-040-1:1-1,2014,219.4964332,1000,1000,739.3595583,102.5066681
194,CL:C-040-1:1-1,1993,219.4964332,1000,1000,1000,102.5066681
195,CL:C-040-1:1-1,1994,219.4964332,1000,1000,1000,102.5066681
196,CL:C-040-1:1-1,1995,219.4964332,1000,1000,739.3595583,102.5066681
197,CL:C-040-1:1-1,1996,219.4964332,1000,1000,739.3595583,102.5066681
198,CL:C-040-1:1-1,1997,219.4964332,1000,1000,739.3595583,102.5066681
199,CL:C-040-1:1-1,1998,219.4964332,1000,1000,739.3595583,102.5066681
200,CL:C-040-1:1-1,1999,219.4964332,1000,1000,739.3595583,102.5066681
221,CL:C-040-1:1-3,2000,217.6581819,771.0782607,1000,618.8156023,102.5066681
222,CL:C-040-1:1-3,2001,217.6581819,771.0782607,1000,618.8156023,102.5066681
223,CL:C-040-1:1-3,2002,217.6581819,771.0782607,1000,618.8156023,102.5066681
224,CL:C-040-1:1-3,2003,217.6581819,771.0782607,1000,618.8156023,102.5066681
225,CL:C-040-1:1-3,2005,217.6581819,771.0782607,1000,618.8156023,102.5066681
226,CL:C-040-1:1-3,2006,217.6581819,771.0782607,1000,618.8156023,102.5066681
227,CL:C-040-1:1-3,2007,217.6581819,771.0782607,1000,618.8156023,102.5066681
228,CL:C-040-1:1-3,2008,217.6581819,771.0782607,1000,618.8156023,102.5066681
229,CL:C-040-1:1-3,2009,217.6581819,771.0782607,1000,618.8156023,102.5066681
230,CL:C-040-1:1-3,2010,217.6581819,771.0782607,1000,618.8156023,102.5066681
231,CL:C-040-1:1-3,2011,217.6581819,771.0782607,1000,618.8156023,102.5066681
232,CL:C-040-1:1-3,2012,217.6581819,771.0782607,1000,618.8156023,102.5066681
233,CL:C-040-1:1-3,2014,217.6581819,771.0782607,1000,618.8156023,102.5066681
234,CL:C-040-1:1-3,1993,217.6581819,771.0782607,1000,1000,102.5066681
235,CL:C-040-1:1-3,1994,217.6581819,771.0782607,1000,1000,102.5066681
236,CL:C-040-1:1-3,1995,217.6581819,771.0782607,1000,618.8156023,102.5066681
237,CL:C-040-1:1-3,1996,217.6581819,771.0782607,1000,618.8156023,102.5066681
238,CL:C-040-1:1-3,1997,217.6581819,771.0782607,1000,618.8156023,102.5066681
239,CL:C-040-1:1-3,1998,217.6581819,771.0782607,1000,618.8156023,102.5066681
240,CL:C-040-1:1-3,1999,217.6581819,771.0782607,1000,618.8156023,102.5066681
261,CL:C-040-1:2-1,2000,325.4524248,1000,1000,921.1164448,102.5066681
262,CL:C-040-1:2-1,2001,325.4524248,1000,1000,921.1164448,102.5066681
263,CL:C-040-1:2-1,2002,325.4524248,1000,1000,921.1164448,102.5066681
264,CL:C-040-1:2-1,2003,325.4524248,1000,1000,921.1164448,102.5066681
265,CL:C-040-1:2-1,2005,325.4524248,1000,1000,921.1164448,102.5066681
266,CL:C-040-1:2-1,2006,325.4524248,1000,1000,921.1164448,102.5066681
267,CL:C-040-1:2-1,2007,325.4524248,1000,1000,921.1164448,102.5066681
268,CL:C-040-1:2-1,2008,325.4524248,1000,1000,921.1164448,102.5066681
269,CL:C-040-1:2-1,2009,325.4524248,1000,1000,921.1164448,102.5066681
270,CL:C-040-1:2-1,2010,325.4524248,1000,1000,921.1164448,102.5066681
271,CL:C-040-1:2-1,2011,325.4524248,1000,1000,921.1164448,102.5066681
272,CL:C-040-1:2-1,2012,325.4524248,1000,1000,921.1164448,102.5066681
273,CL:C-040-1:2-1,2014,325.4524248,1000,1000,921.1164448,102.5066681
274,CL:C-040-1:2-1,1993,325.4524248,1000,1000,1000,102.5066681
275,CL:C-040-1:2-1,1994,325.4524248,1000,1000,1000,102.5066681
276,CL:C-040-1:2-1,1995,325.4524248,1000,1000,921.1164448,102.5066681
277,CL:C-040-1:2-1,1996,325.4524248,1000,1000,921.1164448,102.5066681
278,CL:C-040-1:2-1,1997,325.4524248,1000,1000,921.1164448,102.5066681
279,CL:C-040-1:2-1,1998,325.4524248,1000,1000,921.1164448,102.5066681
280,CL:C-040-1:2-1,1999,325.4524248,1000,1000,921.1164448,102.5066681
301,CL:C-040-1:2-3,2000,348.654246,775.2177557,1000,615.4781288,102.5066681
302,CL:C-040-1:2-3,2001,348.654246,775.2177557,1000,615.4781288,102.5066681
303,CL:C-040-1:2-3,2002,348.654246,775.2177557,1000,615.4781288,102.5066681
304,CL:C-040-1:2-3,2003,348.654246,775.2177557,1000,615.4781288,102.5066681
305,CL:C-040-1:2-3,2005,348.654246,775.2177557,1000,615.4781288,102.5066681
306,CL:C-040-1:2-3,2006,348.654246,775.2177557,1000,615.4781288,102.5066681
307,CL:C-040-1:2-3,2007,348.654246,775.2177557,1000,615.4781288,102.5066681
308,CL:C-040-1:2-3,2008,348.654246,775.2177557,1000,615.4781288,102.5066681
309,CL:C-040-1:2-3,2009,348.654246,775.2177557,1000,615.4781288,102.5066681
310,CL:C-040-1:2-3,2010,348.654246,775.2177557,1000,615.4781288,102.5066681
311,CL:C-040-1:2-3,2011,348.654246,775.2177557,1000,615.4781288,102.5066681
312,CL:C-040-1:2-3,2012,348.654246,775.2177557,1000,615.4781288,102.5066681
313,CL:C-040-1:2-3,2014,348.654246,775.2177557,1000,615.4781288,102.5066681
314,CL:C-040-1:2-3,1993,348.654246,775.2177557,1000,1000,102.5066681
315,CL:C-040-1:2-3,1994,348.654246,775.2177557,1000,1000,102.5066681
316,CL:C-040-1:2-3,1995,348.654246,775.2177557,1000,615.4781288,102.5066681
317,CL:C-040-1:2-3,1996,348.654246,775.2177557,1000,615.4781288,102.5066681
318,CL:C-040-1:2-3,1997,348.654246,775.2177557,1000,615.4781288,102.5066681
319,CL:C-040-1:2-3,1998,348.654246,775.2177557,1000,615.4781288,102.5066681
320,CL:C-040-1:2-3,1999,348.654246,775.2177557,1000,615.4781288,102.5066681
341,CL:C-040-2:1-1,2000,201.9054978,673.0338022,1000,109.9699955,6
342,CL:C-040-2:1-1,2001,201.9054978,673.0338022,1000,109.9699955,7
343,CL:C-040-2:1-1,2002,201.9054978,673.0338022,1000,109.9699955,8
344,CL:C-040-2:1-1,2003,201.9054978,673.0338022,1000,109.9699955,9
345,CL:C-040-2:1-1,2005,201.9054978,673.0338022,1000,109.9699955,9.348418446
346,CL:C-040-2:1-1,2006,201.9054978,673.0338022,1000,109.9699955,10.34841845
347,CL:C-040-2:1-1,2007,201.9054978,673.0338022,1000,109.9699955,11.34841845
348,CL:C-040-2:1-1,2008,201.9054978,673.0338022,1000,109.9699955,12.34841845
349,CL:C-040-2:1-1,2009,201.9054978,673.0338022,1000,109.9699955,13.34841845
350,CL:C-040-2:1-1,2010,201.9054978,673.0338022,1000,109.9699955,14.34841845
351,CL:C-040-2:1-1,2011,201.9054978,673.0338022,1000,109.9699955,15.34841845
352,CL:C-040-2:1-1,2012,201.9054978,673.0338022,1000,109.9699955,16.34841845
353,CL:C-040-2:1-1,2014,201.9054978,673.0338022,1000,109.9699955,18.34841845
354,CL:C-040-2:1-1,1993,201.9054978,673.0338022,1000,1000,102.5066681
355,CL:C-040-2:1-1,1994,201.9054978,673.0338022,1000,1000,102.5066681
356,CL:C-040-2:1-1,1995,201.9054978,673.0338022,1000,109.9699955,1
357,CL:C-040-2:1-1,1996,201.9054978,673.0338022,1000,109.9699955,2
358,CL:C-040-2:1-1,1997,201.9054978,673.0338022,1000,109.9699955,3
359,CL:C-040-2:1-1,1998,201.9054978,673.0338022,1000,109.9699955,4
360,CL:C-040-2:1-1,1999,201.9054978,673.0338022,1000,109.9699955,5
381,CL:C-040-2:1-3,2000,191.3269896,273.6690044,515.356001,508.292416,6
382,CL:C-040-2:1-3,2001,191.3269896,273.6690044,515.356001,508.292416,7
383,CL:C-040-2:1-3,2002,191.3269896,273.6690044,515.356001,508.292416,8
384,CL:C-040-2:1-3,2003,191.3269896,273.6690044,515.356001,508.292416,9
385,CL:C-040-2:1-3,2005,191.3269896,273.6690044,1000,508.292416,11
386,CL:C-040-2:1-3,2006,191.3269896,273.6690044,1000,508.292416,12
387,CL:C-040-2:1-3,2007,191.3269896,273.6690044,1000,508.292416,13
388,CL:C-040-2:1-3,2008,191.3269896,273.6690044,1000,508.292416,14
389,CL:C-040-2:1-3,2009,191.3269896,273.6690044,1000,508.292416,15
390,CL:C-040-2:1-3,2010,191.3269896,273.6690044,1000,508.292416,16
391,CL:C-040-2:1-3,2011,191.3269896,273.6690044,1000,508.292416,17
392,CL:C-040-2:1-3,2012,191.3269896,273.6690044,1000,508.292416,18
393,CL:C-040-2:1-3,2014,191.3269896,273.6690044,1000,508.292416,20
394,CL:C-040-2:1-3,1993,191.3269896,273.6690044,515.356001,1000,102.5066681
395,CL:C-040-2:1-3,1994,191.3269896,273.6690044,515.356001,1000,102.5066681
396,CL:C-040-2:1-3,1995,191.3269896,273.6690044,515.356001,508.292416,1
397,CL:C-040-2:1-3,1996,191.3269896,273.6690044,515.356001,508.292416,2
398,CL:C-040-2:1-3,1997,191.3269896,273.6690044,515.356001,508.292416,3
399,CL:C-040-2:1-3,1998,191.3269896,273.6690044,515.356001,508.292416,4
400,CL:C-040-2:1-3,1999,191.3269896,273.6690044,515.356001,508.292416,5
421,CL:C-040-2:2-1,2000,400.9930386,640.524839,534.0583984,185.4194083,6
422,CL:C-040-2:2-1,2001,400.9930386,640.524839,534.0583984,185.4194083,7
423,CL:C-040-2:2-1,2002,400.9930386,640.524839,534.0583984,185.4194083,8
424,CL:C-040-2:2-1,2003,400.9930386,640.524839,534.0583984,185.4194083,9
425,CL:C-040-2:2-1,2005,400.9930386,640.524839,534.0583984,153.3549055,7.809948372
426,CL:C-040-2:2-1,2006,400.9930386,640.524839,534.0583984,153.3549055,8.809948372
427,CL:C-040-2:2-1,2007,400.9930386,640.524839,534.0583984,153.3549055,9.809948372
428,CL:C-040-2:2-1,2008,400.9930386,640.524839,534.0583984,153.3549055,10.80994837
429,CL:C-040-2:2-1,2009,400.9930386,640.524839,534.0583984,153.3549055,11.80994837
430,CL:C-040-2:2-1,2010,400.9930386,640.524839,534.0583984,153.3549055,12.80994837
431,CL:C-040-2:2-1,2011,400.9930386,640.524839,534.0583984,153.3549055,13.80994837
432,CL:C-040-2:2-1,2012,400.9930386,640.524839,534.0583984,153.3549055,14.80994837
433,CL:C-040-2:2-1,2014,400.9930386,640.524839,534.0583984,153.3549055,16.80994837
434,CL:C-040-2:2-1,1993,400.9930386,640.524839,534.0583984,1000,102.5066681
435,CL:C-040-2:2-1,1994,400.9930386,640.524839,534.0583984,1000,102.5066681
436,CL:C-040-2:2-1,1995,400.9930386,640.524839,534.0583984,185.4194083,1
437,CL:C-040-2:2-1,1996,400.9930386,640.524839,534.0583984,185.4194083,2
438,CL:C-040-2:2-1,1997,400.9930386,640.524839,534.0583984,185.4194083,3
439,CL:C-040-2:2-1,1998,400.9930386,640.524839,534.0583984,185.4194083,4
440,CL:C-040-2:2-1,1999,400.9930386,640.524839,534.0583984,185.4194083,5
461,CL:C-040-2:2-3,2000,303.6165019,273.7588223,334.7675781,548.3698482,6
462,CL:C-040-2:2-3,2001,303.6165019,273.7588223,334.7675781,548.3698482,7
463,CL:C-040-2:2-3,2002,303.6165019,273.7588223,334.7675781,548.3698482,8
464,CL:C-040-2:2-3,2003,303.6165019,273.7588223,334.7675781,548.3698482,9
465,CL:C-040-2:2-3,2005,303.6165019,273.7588223,1000,536.3003728,5.941250026
466,CL:C-040-2:2-3,2006,303.6165019,273.7588223,1000,536.3003728,6.941250026
467,CL:C-040-2:2-3,2007,303.6165019,273.7588223,1000,536.3003728,7.941250026
468,CL:C-040-2:2-3,2008,303.6165019,273.7588223,1000,389.8395822,1.4162576
469,CL:C-040-2:2-3,2009,303.6165019,273.7588223,1000,389.8395822,2.4162576
470,CL:C-040-2:2-3,2010,303.6165019,273.7588223,1000,389.8395822,3.4162576
471,CL:C-040-2:2-3,2011,303.6165019,273.7588223,1000,389.8395822,4.4162576
472,CL:C-040-2:2-3,2012,303.6165019,273.7588223,1000,389.8395822,5.4162576
473,CL:C-040-2:2-3,2014,303.6165019,273.7588223,1000,389.8395822,7.4162576
474,CL:C-040-2:2-3,1993,311.982742,273.7588223,334.7675781,1000,102.5066681
475,CL:C-040-2:2-3,1994,311.982742,273.7588223,334.7675781,1000,102.5066681
476,CL:C-040-2:2-3,1995,311.982742,273.7588223,334.7675781,548.3698482,1
477,CL:C-040-2:2-3,1996,311.982742,273.7588223,334.7675781,548.3698482,2
478,CL:C-040-2:2-3,1997,311.982742,273.7588223,334.7675781,548.3698482,3
479,CL:C-040-2:2-3,1998,311.982742,273.7588223,334.7675781,548.3698482,4
480,CL:C-040-2:2-3,1999,303.6165019,273.7588223,334.7675781,548.3698482,5
501,CL:C-040-3:1-1,2000,96.62963188,1000,1000,912.7795373,102.5066681
502,CL:C-040-3:1-1,2001,96.62963188,1000,1000,912.7795373,102.5066681
503,CL:C-040-3:1-1,2002,96.62963188,1000,1000,912.7795373,102.5066681
504,CL:C-040-3:1-1,2003,96.62963188,1000,260.1187232,912.7795373,102.5066681
505,CL:C-040-3:1-1,2005,96.62963188,1000,260.1187232,132.1765296,1
506,CL:C-040-3:1-1,2006,96.62963188,1000,260.1187232,132.1765296,2
507,CL:C-040-3:1-1,2007,96.62963188,1000,260.1187232,132.1765296,3
508,CL:C-040-3:1-1,2008,96.62963188,1000,260.1187232,132.1765296,4
509,CL:C-040-3:1-1,2009,96.62963188,1000,260.1187232,132.1765296,5
510,CL:C-040-3:1-1,2010,96.62963188,1000,260.1187232,132.1765296,6
511,CL:C-040-3:1-1,2011,96.62963188,1000,260.1187232,132.1765296,7
512,CL:C-040-3:1-1,2012,96.62963188,1000,260.1187232,132.1765296,8
513,CL:C-040-3:1-1,2014,96.62963188,1000,260.1187232,132.1765296,10
514,CL:C-040-3:1-1,1993,683.7338245,1000,1000,912.7795373,102.5066681
515,CL:C-040-3:1-1,1994,683.7338245,1000,1000,912.7795373,102.5066681
516,CL:C-040-3:1-1,1995,683.7338245,1000,1000,912.7795373,102.5066681
517,CL:C-040-3:1-1,1996,683.7338245,1000,1000,912.7795373,102.5066681
518,CL:C-040-3:1-1,1997,683.7338245,1000,1000,912.7795373,102.5066681
519,CL:C-040-3:1-1,1998,683.7338245,1000,1000,912.7795373,102.5066681
520,CL:C-040-3:1-1,1999,96.62963188,1000,1000,912.7795373,102.5066681
541,CL:C-040-3:1-3,2000,233.3213751,1000,1000,1000,102.5066681
542,CL:C-040-3:1-3,2001,233.3213751,1000,1000,1000,102.5066681
543,CL:C-040-3:1-3,2002,233.3213751,1000,1000,1000,102.5066681
544,CL:C-040-3:1-3,2003,233.3213751,1000,608.174305,1000,102.5066681
545,CL:C-040-3:1-3,2005,233.3213751,1000,608.174305,509.0301886,1
546,CL:C-040-3:1-3,2006,233.3213751,1000,608.174305,509.0301886,2
547,CL:C-040-3:1-3,2007,233.3213751,1000,608.174305,509.0301886,3
548,CL:C-040-3:1-3,2008,233.3213751,1000,608.174305,509.0301886,4
549,CL:C-040-3:1-3,2009,233.3213751,1000,608.174305,509.0301886,5
550,CL:C-040-3:1-3,2010,233.3213751,1000,608.174305,509.0301886,6
551,CL:C-040-3:1-3,2011,233.3213751,1000,608.174305,509.0301886,7
552,CL:C-040-3:1-3,2012,233.3213751,1000,608.174305,509.0301886,8
553,CL:C-040-3:1-3,2014,233.3213751,1000,608.174305,370.6724405,1.404659096
554,CL:C-040-3:1-3,1993,283.9110153,1000,1000,1000,102.5066681
555,CL:C-040-3:1-3,1994,283.9110153,1000,1000,1000,102.5066681
556,CL:C-040-3:1-3,1995,283.9110153,1000,1000,1000,102.5066681
557,CL:C-040-3:1-3,1996,283.9110153,1000,1000,1000,102.5066681
558,CL:C-040-3:1-3,1997,283.9110153,1000,1000,1000,102.5066681
559,CL:C-040-3:1-3,1998,283.9110153,1000,1000,1000,102.5066681
560,CL:C-040-3:1-3,1999,233.3213751,1000,1000,1000,102.5066681
581,CL:C-040-3:2-1,2000,47.92849182,947.8200769,1000,993.3145736,102.5066681
582,CL:C-040-3:2-1,2001,47.92849182,947.8200769,1000,993.3145736,102.5066681
583,CL:C-040-3:2-1,2002,47.92849182,947.8200769,1000,993.3145736,102.5066681
584,CL:C-040-3:2-1,2003,47.92849182,947.8200769,392.6217247,993.3145736,102.5066681
585,CL:C-040-3:2-1,2005,47.92849182,947.8200769,392.6217247,295.3902739,1
586,CL:C-040-3:2-1,2006,47.92849182,947.8200769,392.6217247,295.3902739,2
587,CL:C-040-3:2-1,2007,47.92849182,947.8200769,392.6217247,295.3902739,3
588,CL:C-040-3:2-1,2008,47.92849182,947.8200769,392.6217247,295.3902739,4
589,CL:C-040-3:2-1,2009,47.92849182,947.8200769,392.6217247,295.3902739,5
590,CL:C-040-3:2-1,2010,47.92849182,947.8200769,392.6217247,295.3902739,6
591,CL:C-040-3:2-1,2011,47.92849182,947.8200769,392.6217247,295.3902739,7
592,CL:C-040-3:2-1,2012,47.92849182,947.8200769,392.6217247,295.3902739,8
593,CL:C-040-3:2-1,2014,47.92849182,947.8200769,392.6217247,295.3902739,10
594,CL:C-040-3:2-1,1993,683.8329248,1000,928.9980247,993.3145736,102.5066681
595,CL:C-040-3:2-1,1994,683.8329248,947.8200769,1000,993.3145736,102.5066681
596,CL:C-040-3:2-1,1995,683.8329248,947.8200769,1000,993.3145736,102.5066681
597,CL:C-040-3:2-1,1996,683.8329248,947.8200769,1000,993.3145736,102.5066681
